vignette_id,run_id,s_norm,n_eff,condition_number,n_voices
BANCO-010,19,0.1809468545,1.6515119605,559.571559,16
BANCO-010,20,0.1875986915,1.6822530842,545.172544,16
BANCO-010,21,0.1734390013,1.6174891170,482.772362,16
BANCO-010,22,0.1825562070,1.6588975921,491.191995,16
BANCO-010,23,0.1844179174,1.6269213014,381.369899,14
BANCO-010,24,0.1825335991,1.6393669310,447.482985,15
BANCO-010,25,0.1858310911,1.6740288186,585.553364,16
BANCO-010,26,0.1801261084,1.6477580669,493.126222,16
BANCO-010,27,0.1909829013,1.6981119875,521.225814,16
BANCO-010,28,0.1823785063,1.6580804699,599.292218,16
BANCO-010,29,0.1854642084,1.6723268377,519.205234,16
BANCO-010,30,0.1930210431,1.7077350618,482.957134,16
BANCO-011,1,0.1929398572,1.7073507021,497.850379,16
BANCO-011,2,0.1803270876,1.6486765074,471.839656,16
BANCO-011,3,0.1943120746,1.7138588516,486.274644,16
BANCO-011,4,0.1858136937,1.6739480725,481.986292,16
BANCO-011,5,0.2001759588,1.7419507496,500.763043,16
BANCO-011,6,0.1909849505,1.6981216355,495.496345,16
BANCO-011,7,0.1900244639,1.6936054952,444.835148,16
BANCO-011,8,0.1849997471,1.6701746676,461.933865,16
BANCO-011,9,0.1959324667,1.6999433990,439.352126,15
BANCO-011,10,0.1806174525,1.6500043293,488.616488,16
BANCO-011,11,0.1885125872,1.6661266306,362.377059,15
BANCO-011,12,0.1831098827,1.6614461464,524.179787,16
BANCO-011,13,0.1959389081,1.6999730525,448.308675,15
BANCO-011,14,0.1874321222,1.6814763517,420.885536,16
BANCO-011,15,0.2011922822,1.7468662226,505.865464,16
BANCO-011,16,0.1897239545,1.6716012396,392.333417,15
BANCO-011,17,0.1808562801,1.6510972759,426.659221,16
BANCO-011,18,0.1914947614,1.7005236206,474.893457,16
BANCO-011,19,0.1990771055,1.7366516801,459.272810,16
BANCO-011,20,0.1954883517,1.6979001304,361.248763,15
BANCO-011,21,0.1918714626,1.7023006394,404.314848,16
BANCO-011,22,0.1920954697,1.7033582317,540.453203,16
BANCO-011,23,0.1728058890,1.6146523317,434.549496,16
BANCO-011,24,0.1813996113,1.6343403282,391.582759,15
BANCO-011,25,0.1880084818,1.6841655126,420.412051,16
BANCO-011,26,0.1914464583,1.6794168495,411.110147,15
BANCO-011,27,0.1896679808,1.6713478782,434.250831,15
BANCO-011,28,0.1889732397,1.6886764781,413.590388,16
BANCO-011,29,0.1889043064,1.6883537630,431.595955,16
BANCO-011,30,0.1808556090,1.6510942035,485.525302,16
BANCO-012,1,0.1844915818,1.6678231599,404.241882,16
BANCO-012,2,0.1961034965,1.7223925521,396.440972,16
BANCO-012,3,0.1841586378,1.6662842745,375.039663,16
BANCO-012,4,0.2079596610,1.7799523791,429.226296,16
BANCO-012,5,0.2047977822,1.7644164653,422.014677,16
BANCO-012,6,0.1847408390,1.6689761704,520.846079,16
BANCO-012,7,0.1837321282,1.6446964310,426.238479,15
BANCO-012,8,0.1988996188,1.7136578039,340.946668,15
BANCO-012,9,0.1985212290,1.7339771848,388.179707,16
BANCO-012,10,0.1864124415,1.6767292702,476.328805,16
BANCO-012,11,0.1957629218,1.7207669095,404.605493,16
BANCO-012,12,0.1902885649,1.6948460809,377.441911,16
BANCO-012,13,0.2080569550,1.7804325973,340.518098,16
BANCO-012,14,0.1867845224,1.6784599227,360.038030,16
BANCO-012,15,0.1908898899,1.6976741308,364.356977,16
BANCO-012,16,0.2057734668,1.7691959773,392.026644,16
BANCO-012,17,0.1936723491,1.7108216820,548.681416,16
BANCO-012,18,0.1768457888,1.6328396893,509.730869,16
BANCO-012,19,0.2008592950,1.7452541959,365.359115,16
BANCO-012,20,0.1864176833,1.6567012804,435.693552,15
BANCO-012,21,0.2084814144,1.7587056919,389.505025,15
BANCO-012,22,0.1924371133,1.7049724803,470.513353,16
BANCO-012,23,0.2104997693,1.7925322525,406.512712,16
BANCO-012,24,0.1985124695,1.7339350728,359.726722,16
BANCO-012,25,0.2072271870,1.7763412324,351.945326,16
BANCO-012,26,0.2023995149,1.7527230591,418.100305,16
BANCO-012,27,0.1939654203,1.6909121134,402.664090,15
BANCO-012,28,0.1919056250,1.6815064136,362.780751,15
BANCO-012,29,0.2230326934,1.8014575087,283.778629,14
BANCO-012,30,0.1984381108,1.7335776311,429.004979,16
BANCO-013,1,0.1955008820,1.6979577455,500.036642,15
BANCO-013,2,0.1938509495,1.7116690660,514.707561,16
BANCO-013,3,0.1983381433,1.7330972044,472.947022,16
BANCO-013,4,0.1995879351,1.7391130782,481.577867,16
BANCO-013,5,0.1969312096,1.7263498232,438.927514,16
BANCO-013,6,0.2085294371,1.7827664898,513.423462,16
BANCO-013,7,0.1982759090,1.7107658147,453.881743,15
BANCO-013,8,0.1803947807,1.6489859688,461.242605,16
BANCO-013,9,0.1920708096,1.7032417734,510.683057,16
BANCO-013,10,0.1899683762,1.6933421463,507.588048,16
BANCO-013,11,0.1895842310,1.6915395674,475.472492,16
BANCO-013,12,0.2007389216,1.7446718215,427.887428,16
BANCO-013,13,0.2056706739,1.7686918240,473.323209,16
BANCO-013,14,0.2157109313,1.8186194974,464.194526,16
BANCO-013,15,0.2039263731,1.7371448169,467.240901,15
BANCO-013,16,0.1968904954,1.7261549578,433.040685,16
BANCO-013,17,0.1913568773,1.6998736420,509.184902,16
BANCO-013,18,0.1871284360,1.6800611497,481.410523,16
BANCO-013,19,0.1989357076,1.7359709799,491.360297,16
BANCO-013,20,0.1831650018,1.6617000722,474.804248,16
BANCO-013,21,0.2074364641,1.7537359803,510.327796,15
BANCO-013,22,0.1968635838,1.7260261658,401.595247,16
BANCO-013,23,0.1986639954,1.7346636851,445.120088,16
BANCO-013,24,0.1857385608,1.6735994043,560.375604,16
BANCO-013,25,0.2106389692,1.7690114767,432.446333,15
BANCO-013,26,0.2087951266,1.7602004322,495.091443,15
BANCO-013,27,0.1893917503,1.6906370847,442.612082,16
BANCO-013,28,0.1918450416,1.7021759423,444.810690,16
BANCO-013,29,0.1853079974,1.6716026949,488.079005,16
BANCO-013,30,0.1971796828,1.7056947053,401.238272,15
BANCO-014,1,0.1917572516,1.6808309155,370.171481,15
BANCO-014,2,0.1918268432,1.7020900583,413.321715,16
BANCO-014,3,0.1900338375,1.6936495110,390.478382,16
BANCO-014,4,0.1799143359,1.6467908564,429.300893,16
BANCO-014,5,0.1822498439,1.6574890915,405.221277,16
